EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
116724,130061,94615,111117,125404,79095,74326,164179,99305,74848,87822,106276,147247,146368,110377,89773,129640,156621,117402,122936,70706,75345,88585,164174,93431,145202,174553,82761,1241583
116730,130018,94608,111135,125420,79046,74392,164228,99301,74842,87846,106310,147425,146389,110400,89811,129654,156540,117413,122928,70688,75356,88585,164062,93445,145177,174697,82805,1241343
116770,130040,94627,111060,125439,79073,74402,164282,99297,74872,87878,106257,147544,146417,110400,89816,129666,156528,117264,122989,70657,75394,88603,164017,93520,145183,174775,82769,1240953
116783,130016,94623,110934,125397,79124,74376,164089,99295,74808,87919,106311,147485,146421,110394,89796,129666,156598,117207,123043,70666,75364,88625,164125,93432,145238,174895,82794,1240353
116810,129982,94574,110929,125415,79156,74374,164237,99294,74788,87911,106385,147420,146437,110405,89795,129689,156626,117322,123021,70653,75369,88619,164142,93466,145208,174801,82826,1239693
116761,130047,94573,110845,125366,79141,74376,164259,99254,74796,87903,106368,147461,146407,110411,89768,129663,156606,117269,123052,70712,75386,88593,164183,93493,145260,174809,82808,1239903
116729,130067,94593,110877,125334,79165,74428,164314,99214,74787,87852,106398,147508,146356,110407,89718,129702,156677,117221,123071,70649,75395,88563,164201,93521,145131,174858,82767,1239323
116749,130032,94580,110921,125329,79211,74398,164217,99173,74834,87941,106382,147561,146402,110391,89696,129731,156715,117202,123076,70677,75390,88603,164052,93510,145198,174867,82690,1238213
116705,130069,94586,110908,125402,79219,74374,164229,99199,74881,87956,106442,147459,146400,110403,89703,129692,156734,117256,123064,70591,75400,88603,164020,93532,145055,174837,82668,1237823
116640,130102,94602,110941,125440,79164,74410,164135,99257,74869,87984,106399,147467,146392,110405,89684,129560,156812,117239,123064,70532,75419,88583,163981,93474,145073,174724,82554,1238123
116686,130090,94608,110873,125432,79206,74431,164048,99297,74895,87904,106410,147375,146384,110403,89688,129579,156802,117263,123098,70543,75417,88503,163901,93516,144912,174808,82545,1237813
116692,130091,94618,110922,125454,79225,74379,164075,99271,74934,87902,106401,147356,146382,110405,89687,129428,156858,117332,123093,70581,75380,88503,164021,93519,145033,174863,82549,1237303
116684,130075,94647,110934,125478,79226,74385,164145,99308,74957,87780,106477,147385,146376,110397,89691,129429,156786,117283,123059,70590,75390,88383,164000,93529,145070,174829,82519,1237493
116688,130084,94646,110959,125470,79183,74335,164159,99347,74901,87774,106407,147416,146346,110411,89699,129505,156767,117302,123075,70579,75399,88383,164007,93549,144974,174806,82465,1237203
116677,130092,94638,111026,125461,79199,74303,164289,99354,74903,87782,106501,147426,146343,110429,89679,129441,156815,117325,123073,70571,75407,88423,164057,93535,144968,174884,82487,1237873
116694,130094,94643,110974,125464,79216,74271,164413,99281,74919,87720,106565,147500,146404,110453,89679,129410,156825,117322,123080,70551,75413,88396,164032,93528,144743,174898,82536,1237563
116676,130125,94618,111015,125454,79226,74254,164479,99332,74934,87692,106632,147529,146399,110460,89693,129377,156805,117304,123090,70433,75434,88406,163954,93580,144897,175021,82513,1237493
116677,130147,94601,111032,125464,79217,74264,164463,99344,74885,87669,106641,147537,146379,110441,89693,129442,156715,117264,123106,70514,75437,88355,163968,93600,144952,175083,82531,1237993
116725,130118,94706,110973,125440,79187,74261,164400,99351,74905,87765,106588,147543,146364,110370,89691,129444,156757,117272,123136,70459,75448,88403,163952,93647,144667,175193,82586,1237723
116739,130136,94617,110952,125434,79209,74291,164325,99272,74935,87805,106620,147456,146353,110274,89687,129478,156808,117246,123130,70407,75481,88408,163982,93696,144743,175204,82604,1237723
116714,130139,94611,110939,125430,79283,74292,164356,99289,74948,87811,106676,147394,146310,110295,89683,129546,156799,117318,123187,70435,75483,88437,163974,93639,144611,175210,82598,1237903
116729,130136,94706,110932,125428,79245,74265,164280,99306,74947,87893,106628,147421,146324,110294,89667,129503,156770,117340,123180,70459,75489,88483,163974,93617,144461,175211,82587,1238013
116723,130160,94654,110915,125411,79217,74273,164199,99321,74944,87901,106628,147361,146321,110282,89654,129534,156849,117340,123155,70427,75482,88463,164110,93617,144260,175113,82581,1237883
116697,130139,94593,111000,125423,79224,74294,164191,99304,74961,87944,106627,147298,146290,110242,89673,129554,156853,117353,123095,70468,75435,88495,164153,93667,144385,175024,82590,1236533
116705,130160,94616,111031,125390,79280,74345,164307,99254,75027,87896,106665,147259,146292,110214,89650,129541,156952,117311,122984,70478,75441,88513,164087,93707,144351,174977,82524,1235863
116709,130157,94608,111041,125389,79461,74357,164260,99275,74995,87896,106840,147364,146258,110169,89660,129528,156979,117363,122955,70464,75530,88467,164121,93367,144419,174949,82525,1236043
116698,130136,94561,111087,125379,79551,74330,164243,99357,74947,87901,106948,147348,146176,110159,89667,129487,157056,117399,123027,70393,75487,88463,164178,93444,144327,174812,82456,1236053
116709,130067,94491,111042,125383,79484,74339,164210,99324,74940,87891,106889,147328,146141,110178,89651,129494,157102,117422,123041,70346,75507,88445,164120,93407,144250,174874,82488,1236463
116696,129986,94547,111085,125376,79506,74309,164325,99321,75073,87837,106906,147298,146153,110207,89651,129466,157068,117424,123049,70367,75543,88458,164139,93382,144169,174868,82472,1235943
116615,129980,94499,111123,125358,79482,74385,164297,99304,75178,87840,106922,147393,145978,110188,89686,129539,157084,117258,123214,70328,75491,88447,164116,93427,144156,174992,82460,1234913
116544,129914,94499,111118,125351,79545,74424,164251,99369,75256,87929,106899,147360,146052,110107,89634,129582,157004,117159,123163,70330,75469,88523,164127,93509,144158,174989,82505,1235043
116584,130049,94465,111100,125335,79667,74398,164262,99560,75269,87963,107005,147296,145953,110157,89615,129599,156900,117118,123008,70334,75492,88545,164126,93392,144177,174960,82469,1235353
116453,130067,94531,111064,125353,79591,74461,164256,99636,75245,87962,106935,147283,145856,110144,89554,129640,156861,116972,123132,70307,75507,88557,164161,93401,144134,174916,82535,1235173
116553,130108,94547,110868,125397,79639,74388,164342,99609,75178,87966,106915,147310,145887,110149,89437,129597,156900,117065,123192,70358,75432,88607,164117,93435,144202,174916,82564,1235613
116515,130128,94602,110822,125364,79584,74377,164295,99641,75258,87954,106947,147348,145921,110120,89436,129636,156677,117191,123170,70350,75411,88575,164085,93143,144156,175039,82529,1235813
