EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,EURUSD,GBPNZD,XAUUSD
108876,121625,99493,104279,99206,76894,71602,160162,102649,76497,80182,107350,141571,145355,108327,89507,113538,151988,104791,121000,71253,74497,78093,162965,94448,126825,108876,170037,1334253
109062,121702,99320,104193,99112,76967,71727,160223,102655,76440,80194,107264,141677,145472,108324,89605,113639,151977,104892,120868,71305,74440,78106,163036,94460,126802,109062,170440,1336433
109171,121839,99198,104174,99033,76989,71798,160288,102696,76365,80200,107185,141780,145642,108302,89595,113732,151978,105003,120862,71291,74337,78078,163113,94413,126920,109171,170354,1337393
109235,122104,99152,104187,98765,76937,71788,160128,102659,76278,80155,107130,141960,145773,108312,89453,113812,152093,105064,121063,71170,74279,78064,163024,94251,127213,109235,170339,1336743
109235,122111,99094,104151,98626,76871,71747,160171,102675,76167,80059,107095,142081,145919,108247,89448,113773,152171,105086,120997,71218,74158,77956,163052,94212,127172,109235,170136,1338783
109214,122134,99162,104185,98665,76804,71705,160309,102610,76152,80015,107063,142174,145922,108299,89414,113788,152232,105051,121108,71182,74193,77963,162937,94210,127233,109214,170328,1340963
109218,122142,99187,104251,98645,76760,71660,160021,102560,76130,80020,107072,142260,145944,108334,89410,113862,152338,105089,121141,71196,74205,78008,162665,94116,127327,109218,170467,1340693
109168,122070,99253,104292,98738,76696,71567,159610,102517,76116,79985,107120,142328,145941,108355,89421,113857,152467,105062,121150,71306,74221,78004,162542,94503,127304,109168,170783,1339303
109277,122246,99150,104200,98675,76526,71560,158670,102306,75855,79734,106858,142695,146108,108362,89374,113869,152600,105059,121209,71433,74094,77890,161402,94005,127376,109277,170592,1340033
109170,122378,99298,104437,98706,76648,71613,158933,102169,76104,80047,106994,142406,145535,108404,89201,114018,152376,105158,121509,71433,74464,78330,161968,94646,127804,109170,170720,1339853
109148,122323,99266,104424,98694,76563,71537,158925,102280,75994,79947,106980,142538,145826,108349,89221,113981,152500,105183,121420,71513,74274,78149,162132,94839,127730,109148,170572,1337213
109112,122254,99345,104571,98758,76476,71536,159474,102181,75968,79969,106861,142654,145798,108397,89239,114103,152453,105248,121448,71485,74322,78246,162583,94815,127838,109112,170852,1337103
109054,122318,99332,104467,98704,76461,71572,159202,102159,75943,79873,106775,142607,145719,108328,89146,113928,152300,105157,121495,71462,74318,78171,162341,94850,127779,109054,170433,1337753
109062,122274,99356,104529,98788,76381,71469,159412,102115,75883,79835,106810,142771,145824,108361,89187,114003,152534,105196,121474,71483,74281,78163,162671,94866,127806,109062,170055,1338073
109008,122296,99384,104485,98869,76415,71485,159372,102244,75938,79839,106840,142629,145869,108337,89125,113902,152424,105119,121535,71448,74247,78073,162656,94775,127775,109008,169961,1337293
109069,122456,99310,104461,98760,76489,71508,159365,102348,75953,79891,106905,142515,145924,108342,89047,113948,152410,105130,121656,71445,74212,78058,162716,94831,127914,109069,169722,1337413
109067,122372,99345,104472,98792,76438,71472,159269,102234,75931,79858,106898,142634,145880,108352,89115,113940,152508,105139,121553,71530,74241,78086,162628,94943,127825,109067,169769,1336053
109076,122338,99346,104544,98825,76429,71509,159342,102240,75925,79900,106838,142696,145932,108366,89148,114039,152468,105212,121536,71499,74234,78131,162591,94952,127893,109076,169773,1335413
109092,122343,99339,104559,98784,76474,71488,159138,102261,75962,79956,106933,142623,145885,108375,89155,114068,152532,105241,121529,71675,74259,78177,162556,95176,127916,109092,169787,1334783
109051,122242,99358,104534,98898,76432,71499,158076,102307,75935,79894,106859,142652,145984,108352,89198,113998,152449,105191,121453,71589,74197,78074,162402,95124,127777,109051,169884,1335353
