EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
126007,160259,95477,108945,111837,88235,78383,180937,98736,84382,95765,112546,142832,141124,120795,78765,137256,161083,113912,153037,75698,85381,97658,181151,88342,174205,203956,85529,1309360
126078,159947,95450,108948,111962,88324,78510,181925,98639,84370,95956,112477,142877,141183,120782,78727,137374,160978,114052,153107,75687,85402,97567,181198,88362,174251,203868,85773,1307690
126225,160015,95444,109412,111914,88236,78398,181875,98543,84406,95890,112519,142820,141157,120760,78821,137520,160672,114049,152933,75650,85410,97582,181127,88322,174256,203767,85758,1308170
126211,159946,95485,109329,111952,88292,78445,181965,98672,84445,96099,112519,142729,141114,120741,78807,137506,160788,114027,152971,75713,85454,97633,181426,88214,174223,204231,85670,1312809
126177,159997,95531,109278,111832,88297,78403,182079,98727,84435,96126,112593,142736,141060,120738,78790,137474,160734,114420,152966,75701,85426,97650,181178,88286,174429,204189,85637,1312681
126087,160019,95530,109205,111857,88336,78428,182181,98796,84475,96226,112572,142676,141087,120735,78819,137959,160708,114354,152927,75591,85445,97524,181255,88203,174445,204681,85676,1314073
126118,159930,95533,109254,111926,88389,78427,182454,98696,84430,96541,112656,142783,141087,120739,78810,137889,160740,114252,152941,75605,85391,97567,181205,88198,174365,204534,85652,1309735
126037,159981,95581,109342,111954,88265,78340,181945,98816,84399,96527,112643,142820,141160,120707,78802,137737,160747,114223,152970,75067,85387,97640,181191,88148,174335,205058,85601,1310990
126125,159956,95655,109222,111980,88270,78379,182041,98783,84328,96489,112592,142916,141144,120715,78803,137738,160852,114289,152963,75058,85457,97624,181172,88082,174513,204877,85577,1312585
126127,159918,95740,109296,111930,88180,78303,182058,99031,84448,96461,112595,142714,141027,120725,78791,137807,160820,114296,152959,74905,85436,97725,181286,88078,174257,204849,85598,1312259
126047,159888,95754,109331,111973,88272,78301,182231,99058,84405,96565,112710,142812,141093,120735,78776,137831,160926,114219,152991,74781,85482,98316,181270,87808,174281,205035,85608,1311381
126084,159945,95803,109355,111897,88217,78288,182205,99294,84413,96511,112658,142803,141018,120721,78793,137718,160865,114277,152977,74847,85486,98912,181347,87913,174375,204838,85827,1312601
126041,159860,95894,109393,112033,88238,78462,182166,99088,84326,96411,112441,142946,141014,120712,78785,137765,160905,114265,153011,74911,85614,99101,181204,87870,174580,205065,86357,1312762
125990,159748,95783,110191,112072,88035,78373,182199,99291,84378,96376,112307,142915,140852,120713,78722,137757,160580,114283,153129,74948,85613,99223,181302,87754,174548,204757,86846,1311555
126002,159709,95764,110879,112107,87923,78327,182233,99160,84487,96504,112227,142725,140845,120737,78660,137795,160542,114335,153302,74979,85624,99464,181357,87816,174597,204711,87165,1311196
126024,159926,95814,111129,112058,88011,78441,181796,99147,84545,96469,112173,142639,140840,120710,78653,137865,160402,115022,153306,74879,85584,99650,181279,87738,175001,205157,87427,1311178
125863,159838,95682,111216,112067,88101,78614,181756,99159,84561,96527,112041,142609,140906,120721,78580,138694,160117,115521,153472,74878,85693,99780,181293,87856,174941,204833,87649,1311425
125673,159884,95638,111494,111970,88156,78620,181996,99092,84583,97008,112106,142502,140670,120736,78649,139357,159831,115752,153322,74989,85649,99729,181244,87834,174781,204805,87697,1313549
125631,160008,95510,111605,111961,88142,78582,181916,98781,84646,97491,112141,142485,140813,120730,78555,139620,159885,115883,153435,74784,85687,99307,181066,87730,174726,204706,87808,1313615
125682,160035,95518,111745,111866,88260,78585,181555,98398,84655,97804,112281,142478,140760,120758,78593,139786,159818,116217,153459,74818,85495,99277,181089,87818,174827,204665,87851,1311935
125728,159669,95537,111590,112680,88301,78733,181797,98454,84673,97979,112134,142460,141099,120759,78617,140183,159990,116286,153421,74766,85505,99186,180859,87794,174870,204605,87337,1312893
125627,159625,95615,111923,112731,87884,78036,181623,98475,84708,98287,112594,142383,141063,120755,78415,140201,159769,116500,153837,74879,85203,99398,180879,87815,174732,204768,87353,1316868
125768,159741,95598,111948,113163,87871,78036,181542,98494,84614,98371,112578,142524,141534,120761,78382,140547,160414,116386,153876,74771,85357,99318,180831,87915,174820,204585,87376,1314916
125824,159976,95635,112277,112724,87739,77827,181400,98579,84589,98620,112713,142516,141235,120763,78286,140414,160309,116155,154046,74796,85318,99403,180834,87912,174839,204993,87180,1315400
125222,159941,95579,112089,112750,87898,77783,181227,98631,84721,98533,112981,142316,141324,120751,78305,140164,160657,116114,153944,74714,85312,99583,181275,87848,174847,204575,87291,1310774
125132,159931,95579,112012,112772,88058,77935,181185,98684,84603,98362,112969,142498,141320,120691,78356,140083,161029,116419,153880,74739,85366,99623,181077,87848,174970,204567,87257,1309890
