EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY
111821,129307,100828,114211,137141,73609,68335,176138,100927,74182,84067,107660,147705,149066,109627,84021,124218,159002,113279,130447,68901,73465,83222,177503,93681,147692,186848,78058
111807,129317,100824,114233,137147,73590,68323,176138,100997,74181,84071,107659,147694,149133,109634,84030,124193,158948,113244,130442,68899,73481,83235,177465,93677,147750,186840,78069
111761,129349,100796,114233,137187,73583,68322,176111,100977,74207,84072,107697,147659,149191,109639,84024,124158,159027,113259,130433,68908,73466,83247,177450,93717,147750,186853,78073
111751,129344,100801,114194,137227,73606,68296,176137,100951,74211,84056,107708,147623,149196,109640,84034,124131,159081,113235,130411,68934,73433,83238,177494,93786,147712,186864,78054
111771,129356,100801,114174,137229,73591,68307,176018,100956,74224,84050,107697,147712,149181,109650,84049,124198,159104,113215,130418,68901,73414,83231,177451,93780,147696,186880,78026
111731,129366,100815,114156,137212,73592,68294,176017,100927,74248,84018,107669,147750,149177,109629,84060,124218,159177,113228,130389,68880,73401,83177,177454,93747,147685,186796,77984
111716,129375,100817,114138,137178,73552,68262,175968,100981,74210,84012,107612,147729,149260,109641,84064,124192,159163,113222,130406,68876,73399,83142,177468,93724,147646,186744,77984
111720,129363,100825,114163,137166,73481,68236,176001,100949,74188,83946,107566,147769,149272,109617,84066,124180,159165,113227,130390,68832,73401,83133,177496,93680,147653,186712,77955
111712,129336,100836,114162,137236,73427,68230,176065,100886,74207,83886,107524,147774,149309,109628,84065,124170,159229,113217,130385,68847,73416,83128,177485,93744,147618,186690,77937
111741,129309,100842,114176,137270,73391,68236,176005,100816,74170,83822,107533,147829,149302,109619,84055,124123,159275,113190,130359,68832,73408,83134,177463,93747,147644,186686,77906
111756,129316,100857,114175,137316,73405,68263,175937,100770,74177,83792,107479,147964,149298,109619,84067,124143,159273,113180,130378,68811,73421,83142,177465,93735,147620,186652,77908
111771,129296,100868,114156,137321,73397,68233,175912,100777,74135,83807,107566,148059,149281,109630,84082,124133,159257,113193,130369,68786,73434,83115,177416,93703,147598,186721,77915
111761,129300,100869,114163,137326,73425,68226,176007,100784,74074,83787,107583,148117,149305,109632,84066,124138,159188,113204,130378,68785,73400,83123,177453,93700,147631,186746,77933
111755,129320,100865,114190,137312,73426,68229,175971,100820,74021,83821,107565,148092,149301,109654,84078,124135,159265,113180,130420,68797,73410,83148,177429,93698,147664,186750,77904
111735,129314,100847,114200,137336,73413,68272,176027,100816,73991,83844,107532,148100,149274,109651,84075,124113,159264,113131,130432,68828,73373,83113,177410,93751,147675,186833,77913
111690,129316,100836,114174,137332,73445,68275,176014,100849,74012,83836,107528,148050,149358,109656,84065,124125,159266,113157,130434,68809,73397,83112,177421,93707,147693,186829,77925
111692,129359,100839,114102,137324,73441,68304,175960,100872,74010,83856,107524,148028,149337,109662,84054,124137,159175,113172,130470,68809,73401,83033,177438,93691,147598,186827,77963
111682,129360,100829,114116,137394,73472,68316,175947,100901,74049,83796,107528,148061,149404,109655,84058,124152,159185,113169,130447,68812,73420,83078,177431,93740,147619,186841,77910
111693,129361,100803,114136,137366,73480,68342,175994,100897,74057,83840,107525,148014,149344,109648,84038,124135,159127,113204,130436,68854,73394,83094,177413,93783,147633,186913,77952
111695,129349,100803,114120,137412,73506,68326,175975,100907,74045,83865,107558,148030,149342,109652,84047,124071,159102,113223,130429,68845,73405,83111,177411,93819,147650,186900,77978
111759,129384,100822,114124,137349,73511,68335,175970,100910,74073,83884,107516,147981,149312,109656,84050,124092,159069,113216,130448,68866,73419,83108,177377,93819,147703,186837,77998
111775,129425,100818,114146,137347,73494,68333,175976,100923,74058,83893,107509,147959,149375,109664,84058,124116,159158,113205,130458,68881,73421,83135,177349,93830,147742,186849,77982
111780,129436,100819,114161,137298,73492,68321,175973,100885,74080,83886,107504,147928,149357,109667,84046,124114,159137,113200,130472,68900,73396,83145,177346,93833,147734,186812,78007
111795,129411,100827,114145,137310,73474,68336,175969,100884,74092,83897,107457,147974,149322,109663,84049,124161,159103,113197,130471,68866,73416,83140,177418,93820,147706,186920,78015
111803,129406,100827,114143,137291,73461,68346,175947,100849,74110,83862,107461,148005,149310,109654,84043,124185,159122,113201,130459,68873,73430,83108,177383,93820,147696,186828,77994
111795,129401,100832,114149,137291,73472,68372,175997,100865,74096,83845,107432,147978,149362,109658,84038,124173,159096,113206,130455,68887,73423,83129,177403,93818,147699,186846,78005
111790,129395,100828,114152,137282,73482,68350,176002,100868,74078,83867,107460,148015,149321,109657,84044,124153,159056,113212,130461,68875,73423,83148,177416,93794,147728,186816,78022
111780,129417,100827,114161,137329,73475,68356,176002,100859,74091,83879,107448,148041,149318,109673,84049,124153,159021,113201,130482,68886,73425,83144,177435,93845,147739,186814,78056
111782,129417,100847,114165,137304,73476,68364,176021,100863,74068,83880,107449,148002,149316,109669,84045,124151,159049,113182,130487,68900,73417,83150,177453,93841,147762,186862,78038
111795,129427,100819,114155,137277,73486,68360,176009,100861,74057,83881,107441,148004,149313,109663,84042,124173,159037,113202,130494,68929,73417,83142,177464,93861,147738,186880,78045
111794,129419,100824,114154,137294,73472,68386,176028,100870,74076,83888,107406,148001,149309,109663,84032,124169,159022,113184,130485,68911,73423,83120,177465,93843,147725,186894,78047
111803,129406,100829,114142,137291,73476,68390,175965,100881,74083,83872,107392,147999,149310,109656,84024,124172,158987,113175,130500,68913,73427,83137,177472,93846,147740,186891,78042
111793,129438,100835,114133,137287,73476,68399,175949,100856,74081,83866,107375,147980,149319,109659,84030,124162,158988,113178,130492,68921,73435,83132,177490,93859,147729,186882,78063
111787,129439,100839,114127,137327,73471,68397,175934,100857,74078,83860,107331,147966,149307,109661,84016,124128,158956,113187,130498,68931,73437,83127,177496,93876,147719,186845,78067
111812,129435,100849,114138,137287,73439,68391,175911,100850,74086,83847,107296,148015,149302,109662,84025,124159,158933,113202,130503,68936,73434,83136,177515,93885,147712,186874,78073
111794,129419,100848,114150,137286,73410,68376,175885,100803,74090,83819,107287,148003,149273,109648,84021,124138,158909,113212,130493,68946,73446,83147,177509,93892,147725,186957,78074
111797,129416,100860,114176,137283,73387,68385,175929,100762,74070,83797,107293,148006,149275,109657,84017,124129,158931,113213,130496,68961,73427,83153,177514,93907,147760,186904,78075
111791,129417,100862,114187,137282,73402,68376,175916,100745,74076,83789,107313,148051,149280,109658,84013,124114,158947,113226,130508,68961,73414,83175,177481,93898,147779,186894,78076
111812,129418,100873,114202,137279,73405,68381,175909,100749,74073,83816,107312,148113,149258,109658,84018,124134,158926,113196,130510,68955,73421,83156,177497,93887,147754,186953,78097
111807,129383,100872,114217,137296,73406,68398,175844,100790,74046,83828,107311,148139,149296,109658,84010,124153,158933,113211,130491,68948,73424,83149,177513,93881,147764,186930,78093
111796,129375,100869,114199,137277,73426,68387,175856,100811,74020,83840,107336,148113,149325,109659,84010,124165,158921,113224,130484,68957,73407,83135,177527,93879,147731,187021,78108
111794,129367,100872,114215,137326,73432,68379,175868,100842,74005,83851,107350,148090,149319,109663,84023,124166,158871,113218,130490,68956,73420,83148,177551,93899,147758,186953,78117
111791,129373,100868,114224,137353,73435,68373,175814,100850,74018,83874,107381,148085,149306,109656,84028,124181,158885,113239,130497,68963,73422,83140,177466,93926,147762,186987,78116
111781,129363,100869,114220,137357,73446,68388,175793,100865,74031,83879,107356,148038,149332,109658,84026,124153,158910,113254,130481,68988,73403,83147,177465,93949,147775,186984,78111
111735,129378,100865,114239,137353,73446,68391,175745,100873,74033,83890,107351,148015,149312,109656,84018,124164,158922,113246,130499,68975,73408,83167,177482,93933,147829,186905,78102
